City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Butaritari,KI,81.27,few clouds,3.0707,172.7902,Isles Sunset Lodge
10,Tomohon,ID,77.94,overcast clouds,1.3346,124.8392,Gardenia Country Inn
12,Rikitea,PF,78.75,light rain,-23.1203,-134.9692,People ThankYou
15,Itarema,BR,77.22,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
16,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Moerai,PF,76.68,overcast clouds,-22.4333,-151.3333,Le Manotel
18,Faanui,PF,80.65,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Grand Gaube,MU,80.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
22,Hobart,AU,84.27,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
23,Vaini,TO,87.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
26,Charters Towers,AU,84.2,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
27,Hithadhoo,MV,81.5,broken clouds,-0.6,73.0833,Scoop Guest House
31,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
36,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
45,Carnarvon,AU,82.26,clear sky,-24.8667,113.6333,Hospitality Carnarvon
46,Barra,BR,75.54,broken clouds,-11.0894,-43.1417,Pousada Bahia
47,New Norfolk,AU,83.91,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
50,Maragogi,BR,76.32,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
51,Ampanihy,MG,78.31,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
53,Kudahuvadhoo,MV,81.16,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
65,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
78,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
80,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
84,Sampit,ID,89.85,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
87,Hilo,US,76.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
97,Atuona,PF,78.49,few clouds,-9.8,-139.0333,Villa Enata
105,Port Lincoln,AU,77.43,few clouds,-34.7333,135.8667,Port Lincoln Hotel
107,Dicabisagan,PH,75.6,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
116,Busselton,AU,78.08,clear sky,-33.65,115.3333,Observatory Guest House
125,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
136,Poum,NC,79.23,overcast clouds,-20.2333,164.0167,
139,Banda Aceh,ID,81.75,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
142,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
147,Yarada,IN,77.32,haze,17.65,83.2667,Yarada Jungle Beach Resorts
149,Kavieng,PG,83.5,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
154,Samal,PH,84.27,broken clouds,7.0744,125.7083,Kara Kubotel @ Sunset Beach
161,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
162,Lorengau,PG,82.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
163,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
166,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
169,Isangel,VU,80.8,broken clouds,-19.55,169.2667,Tanna Lodge
170,Cap Malheureux,MU,81.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
172,Tual,ID,81.52,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
177,Camocim,BR,76.19,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
180,Trincomalee,LK,78.31,broken clouds,8.5711,81.2335,Welcombe Hotel
189,Santa Rosa,PH,87.12,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
191,Acajutla,SV,77.31,clear sky,13.5928,-89.8275,CASA DE LA PERRA
195,Sur,OM,76.95,clear sky,22.5667,59.5289,Sur Plaza Hotel
207,Kahului,US,75.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
209,Porbandar,IN,75.07,clear sky,21.6422,69.6093,Lords Inn Porbandar
213,Ambunti,PG,85.89,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
219,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
221,Balabac,PH,80.47,overcast clouds,7.9868,117.0645,Divina's Inn
222,Axim,GH,77.09,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
225,Morondava,MG,81.57,overcast clouds,-20.2833,44.2833,La Case Bambou
229,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
233,Omboue,GA,76.35,broken clouds,-1.5746,9.2618,Hotel Olako
238,Ugoofaaru,MV,79.27,broken clouds,5.6667,73.0,Ungoofaaru Inn
240,San Policarpo,PH,76.46,moderate rain,12.1791,125.5072,Agapita M. Nicart
242,Lagos,NG,77.32,clear sky,6.5833,3.75,
247,Saint-Pierre,RE,83.91,clear sky,-21.3393,55.4781,Alize Plage
248,Bonthe,SL,75.7,clear sky,7.5264,-12.505,Bonthe Holiday Village
279,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
285,Akyab,MM,76.44,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
