City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nalvo,PH,2023-01-10 22:04:24,16.8096,120.5108,66.92,75,56,4.65
1,Punta Arenas,CL,2023-01-10 22:04:24,-53.15,-70.9167,55.51,67,0,12.66
2,Barrow,US,2023-01-10 22:04:25,71.2906,-156.7887,-12.98,77,0,18.41
3,Curup,ID,2023-01-10 22:04:25,-3.4667,102.5333,66.06,98,94,0.87
4,Sonoita,MX,2023-01-10 22:04:25,31.85,-112.8333,70.23,17,45,9.53
5,Atuona,PF,2023-01-10 22:04:26,-9.8,-139.0333,79.07,67,4,13.49
6,Saint-Louis,SN,2023-01-10 22:04:26,16.3333,-15.0,77.09,9,83,15.75
7,Vilyuysk,RU,2023-01-10 22:04:27,63.7553,121.6247,-37.7,94,74,7.29
8,Alofi,NU,2023-01-10 22:04:27,-19.0595,-169.9187,78.98,87,100,20.2
9,Hithadhoo,MV,2023-01-10 22:04:28,-0.6,73.0833,80.91,77,100,13.06
10,Esperance,AU,2023-01-10 22:04:28,-33.8667,121.9,68.36,79,3,13.67
11,Nyagan,RU,2023-01-10 22:04:29,62.1406,65.3936,4.82,93,100,5.95
12,Ancud,CL,2023-01-10 22:03:30,-41.8697,-73.8203,56.16,58,19,13.22
13,Marawi,PH,2023-01-10 22:04:29,7.9986,124.2928,67.95,98,100,2.55
14,Cidreira,BR,2023-01-10 22:04:29,-30.1811,-50.2056,72.52,78,85,1.54
15,Valparaiso,CL,2023-01-10 22:02:55,-33.0393,-71.6273,73.47,100,0,9.22
16,Salamiyah,SY,2023-01-10 22:04:30,35.0113,37.0532,44.29,76,0,2.48
17,Caravelas,BR,2023-01-10 22:04:31,-17.7125,-39.2481,77.58,83,82,7.34
18,Yellowknife,CA,2023-01-10 22:04:31,62.456,-114.3525,-5.76,100,68,4.38
19,Hilo,US,2023-01-10 22:04:32,19.7297,-155.09,80.33,61,40,9.22
20,Port Hardy,CA,2023-01-10 22:04:32,50.6996,-127.4199,46.58,87,75,19.57
21,Pandan,PH,2023-01-10 22:04:32,14.0453,124.1694,76.37,86,100,12.73
22,Busselton,AU,2023-01-10 22:04:08,-33.65,115.3333,59.02,80,6,6.06
23,Gagret,IN,2023-01-10 22:04:33,31.6667,76.0667,53.94,62,100,1.83
24,Chokurdakh,RU,2023-01-10 22:04:33,70.6333,147.9167,-48.82,100,73,1.43
25,Kavieng,PG,2023-01-10 22:04:34,-2.5744,150.7967,82.38,73,100,4.21
26,Rovenki,UA,2023-01-10 22:04:34,48.0833,39.3776,7.11,65,13,19.95
27,Rikitea,PF,2023-01-10 22:04:35,-23.1203,-134.9692,78.69,76,17,18.07
28,Dikson,RU,2023-01-10 22:04:35,73.5069,80.5464,-32.46,99,28,5.66
29,Juneau,US,2023-01-10 22:04:35,58.3019,-134.4197,33.22,97,40,0.0
30,Cape Town,ZA,2023-01-10 22:02:13,-33.9258,18.4232,66.9,75,100,7.0
31,Chuy,UY,2023-01-10 22:04:36,-33.6971,-53.4616,72.46,75,3,5.88
32,Barcelos,PT,2023-01-10 22:04:36,41.5388,-8.6151,57.34,94,100,6.91
33,Maceio,BR,2023-01-10 22:04:36,-9.6658,-35.7353,78.24,88,20,9.22
34,Urumqi,CN,2023-01-10 22:04:37,43.801,87.6005,18.55,93,75,6.71
35,Souillac,MU,2023-01-10 22:04:37,-20.5167,57.5167,76.57,82,1,9.01
36,Ilulissat,GL,2023-01-10 22:04:38,69.2167,-51.1,8.62,61,75,12.66
37,Khani,GE,2023-01-10 22:04:38,41.9563,42.9566,29.77,69,6,7.49
38,Port Blair,IN,2023-01-10 22:04:38,11.6667,92.75,75.69,78,76,8.88
39,Ushuaia,AR,2023-01-10 22:04:39,-54.8,-68.3,56.86,58,20,12.66
40,Mataura,NZ,2023-01-10 22:04:40,-46.1927,168.8643,54.37,99,100,4.79
41,Narsaq,GL,2023-01-10 22:04:41,60.9167,-46.05,25.02,71,100,6.76
42,Qaanaaq,GL,2023-01-10 22:04:41,77.484,-69.3632,-15.47,99,100,1.48
43,Tura,IN,2023-01-10 22:04:41,25.5198,90.2201,55.29,56,0,3.22
44,Nikolskoye,RU,2023-01-10 22:04:42,59.7035,30.7861,28.29,89,100,13.62
45,Hermanus,ZA,2023-01-10 22:04:42,-34.4187,19.2345,65.41,76,90,4.12
46,Darhan,MN,2023-01-10 22:05:43,49.4867,105.9228,3.78,93,56,2.89
47,New Norfolk,AU,2023-01-10 22:05:43,-42.7826,147.0587,62.92,66,96,1.01
48,Nanortalik,GL,2023-01-10 22:05:43,60.1432,-45.2371,25.25,68,100,7.74
49,Saint-Pierre,RE,2023-01-10 22:05:44,-21.3393,55.4781,74.88,83,100,3.44
50,Ponta Do Sol,PT,2023-01-10 22:05:44,32.6667,-17.1,65.03,76,11,4.09
51,Bluff,NZ,2023-01-10 22:05:45,-46.6,168.3333,55.8,74,90,12.95
52,Dingle,PH,2023-01-10 22:05:45,10.9995,122.6711,72.86,95,99,9.95
53,Port Alfred,ZA,2023-01-10 22:05:46,-33.5906,26.891,72.18,97,74,3.13
54,Arraial Do Cabo,BR,2023-01-10 22:05:46,-22.9661,-42.0278,75.06,94,75,6.91
55,Tuktoyaktuk,CA,2023-01-10 22:05:46,69.4541,-133.0374,-19.89,100,93,5.59
56,Turka,UA,2023-01-10 22:05:47,49.1541,23.0297,35.8,98,100,5.35
57,Shemgang,BT,2023-01-10 22:05:47,27.2169,90.6579,37.53,67,2,5.75
58,Jiuquan,CN,2023-01-10 22:05:47,39.7432,98.5174,23.29,38,80,4.07
59,Mitu,CO,2023-01-10 22:05:48,1.1983,-70.1733,81.5,74,78,2.17
60,Bredasdorp,ZA,2023-01-10 22:05:48,-34.5322,20.0403,66.0,72,100,1.97
61,Faanui,PF,2023-01-10 22:05:49,-16.4833,-151.75,78.84,79,100,9.93
62,Sarahan,IN,2023-01-10 22:05:49,31.5167,77.8,45.23,31,98,5.68
63,Sabirabad,AZ,2023-01-10 22:05:49,40.0095,48.4752,31.82,76,100,14.94
64,Albany,US,2023-01-10 22:03:01,42.6001,-73.9662,33.06,70,76,5.21
65,Santa Rosa,PH,2023-01-10 22:01:16,14.3122,121.1114,75.11,92,89,8.88
66,Alghero,IT,2023-01-10 22:05:50,40.5589,8.3181,44.69,87,20,2.3
67,Tomatlan,MX,2023-01-10 22:05:50,19.9333,-105.25,88.12,29,0,7.74
68,Grand Gaube,MU,2023-01-10 22:05:51,-20.0064,57.6608,78.39,72,6,4.0
69,Vaini,TO,2023-01-10 22:05:51,-21.2,-175.2,81.86,82,100,6.64
70,San Isidro,PE,2023-01-10 22:05:52,-12.1167,-77.05,72.99,68,0,9.22
71,Taikang,CN,2023-01-10 22:05:52,46.8333,124.4167,13.05,89,98,8.21
72,Leh,IN,2023-01-10 22:04:16,34.1667,77.5833,17.6,64,100,5.75
73,Ratnagiri,IN,2023-01-10 22:05:52,16.9833,73.3,69.4,31,1,4.45
74,Vryburg,ZA,2023-01-10 22:05:53,-26.9566,24.7284,78.76,21,3,9.19
75,Koumac,NC,2023-01-10 22:05:53,-20.5667,164.2833,79.74,56,89,7.09
76,Puerto Escondido,MX,2023-01-10 22:05:54,15.85,-97.0667,85.03,58,0,6.91
77,Khatanga,RU,2023-01-10 22:05:54,71.9667,102.5,-30.73,97,100,9.98
78,Bilma,NE,2023-01-10 22:05:54,18.6853,12.9164,59.27,28,5,7.25
79,Jambi,ID,2023-01-10 22:05:55,-1.6,103.6167,73.53,97,100,2.08
80,Butaritari,KI,2023-01-10 22:05:55,3.0707,172.7902,81.12,76,8,15.41
81,Kruisfontein,ZA,2023-01-10 22:05:55,-34.0033,24.7314,67.89,88,15,4.14
82,Austin,US,2023-01-10 22:02:03,30.2672,-97.7431,87.03,41,0,5.99
83,Grand-Santi,GF,2023-01-10 22:05:56,4.25,-54.3833,72.99,99,46,3.15
84,Tam Ky,VN,2023-01-10 22:05:56,15.5667,108.4833,71.11,91,100,2.77
85,Maldonado,UY,2023-01-10 22:02:42,-34.6667,-54.9167,76.23,63,33,14.88
86,Mustvee,EE,2023-01-10 22:05:57,58.8486,26.9397,32.95,95,100,11.21
87,Vila Velha,BR,2023-01-10 22:05:57,-20.3297,-40.2925,78.94,86,20,10.36
88,Goderich,CA,2023-01-10 22:05:58,43.7501,-81.7165,34.92,76,78,5.68
89,Sault Sainte Marie,CA,2023-01-10 22:05:58,46.5168,-84.3333,21.76,68,100,8.05
90,San Quintin,MX,2023-01-10 22:05:58,30.4833,-115.95,63.93,71,33,10.98
91,Charters Towers,AU,2023-01-10 22:05:59,-20.1,146.2667,78.93,68,100,9.13
92,Kavaratti,IN,2023-01-10 22:05:59,10.5669,72.642,79.68,62,24,3.74
93,Kropotkin,RU,2023-01-10 22:06:00,45.4375,40.5756,21.13,65,53,25.14
94,Avarua,CK,2023-01-10 22:06:00,-21.2078,-159.775,78.85,94,100,18.41
95,Makakilo City,US,2023-01-10 22:06:00,21.3469,-158.0858,82.72,47,0,0.0
96,Constantine,DZ,2023-01-10 22:03:21,36.365,6.6147,44.01,81,20,6.91
